DESCRIPTIO,SITE,SITEDESCRI,Category,
PLEQ-Swing-5 Bay-5 Way,10927,Onepoto Domain,PLEQ-Swing-5 Bay-5 Way,
PLEQ-Swing-5 Way-Snr,11092,Browns Bay Beach Reserve,PLEQ-Swing-5 Way-Snr,
PLEQ-Swing-Basket,20311,Northboro Reserve,PLEQ-Swing-Basket,
PLEQ-Swing-Basket,21723,Carisbrook Reserve,PLEQ-Swing-Basket,
PLEQ-Swing-Basket Swing,22098,Cairnbrae Reserve,PLEQ-Swing-Basket Swing,
PLEQ-Swing-Basket Swing,22152,Sherwood Reserve,PLEQ-Swing-Basket Swing,
PLEQ-Swing-Basket Swing,20073,Rothesay Bay Beach Reserve,PLEQ-Swing-Basket Swing,
PLEQ-Swing-Basket Swing,21909,Oak Park,PLEQ-Swing-Basket Swing,
PLEQ-Swing-basket swing,11092,Browns Bay Beach Reserve,PLEQ-Swing-basket swing,
PLEQ-Swing-Basket-Beach,11275,Stanmore Bay Park,PLEQ-Swing-Basket-Beach,
PLEQ-Swing-Flower Jnr-E,11247,Warkworth Service Centre & Library Grou.,PLEQ-Swing-Flower Jnr-E,
PLEQ-Swing-Flower Jnr-W,11247,Warkworth Service Centre & Library Grou.,PLEQ-Swing-Flower Jnr-W,
PLEQ-Swing-Flower-Jnr,23359,Northcote Shops,PLEQ-Swing-Flower-Jnr,
PLEQ-Swing-Flower-Jnr,20372,Kawerau Reserve,PLEQ-Swing-Flower-Jnr,
PLEQ-Swing-Flower-Jnr,11058,Okura Reserve,PLEQ-Swing-Flower-Jnr,
PLEQ-Swing-Flower-Jnr-E,11096,Marlborough Park,PLEQ-Swing-Flower-Jnr-E,
PLEQ-Swing-Flower-Jnr-E,11066,Kennedy Park,PLEQ-Swing-Flower-Jnr-E,
PLEQ-Swing-Flower-Jnr-W,11096,Marlborough Park,PLEQ-Swing-Flower-Jnr-W,
PLEQ-Swing-Flower-Jnr-W,11066,Kennedy Park,PLEQ-Swing-Flower-Jnr-W,
PLEQ-Swing-Hammock,11066,Kennedy Park,PLEQ-Swing-Hammock,
PLEQ-Swing-Hammock,20303,Montgomery Reserve,PLEQ-Swing-Hammock,
PLEQ-Swing-Hammock,20351,Neptune Avenue Reserve,PLEQ-Swing-Hammock,
PLEQ-Swing-Hammock-large rope,22074,Bayside Drive,PLEQ-Swing-Hammock-large rope,
PLEQ-Swing-Hammock-Small,22095,Lysander Crescent Reserve,PLEQ-Swing-Hammock-Small,
PLEQ-Swing-Hammock-small black,22074,Bayside Drive,PLEQ-Swing-Hammock-small black,
PLEQ-Swing-Keyhole-Jnr,20924,Schopolo East,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,23359,Northcote Shops,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,22286,Glen Bay Close Reserve,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,11104,Hinemoa Park,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,10941,Nell Fisher Reserve,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,22604,Ferry Rd/ Hawaiian Pde Junction,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,10931,Rosedale Park,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,20311,Northboro Reserve,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,21863,Pin Oak Reserve,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Keyhole-Jnr,20074,Waiake Beach Reserve,PLEQ-Swing-Keyhole-Jnr,
PLEQ-Swing-Large Rope,22197,Spinella Reserve,PLEQ-Swing-Large Rope,
PLEQ-Swing-Mega-1 bay-Mixed,22405,Cooper - Lea Reserve,PLEQ-Swing-Mega-1 bay-Mixed,
PLEQ-Swing-Mega-1 Bay-Snr,10926,Shepherds Park,PLEQ-Swing-Mega-1 Bay-Snr,
PLEQ-Swing-Mega-1.5 Bay-Mixed,20569,Gilshennan Reserve,PLEQ-Swing-Mega-1.5 Bay-Mixed,
PLEQ-Swing-Mega-2 Bay-Mixed,11087,Stanley Bay Park,PLEQ-Swing-Mega-2 Bay-Mixed,
PLEQ-Swing-Mega-2 bay-mixed,22401,Hardley Reserve,PLEQ-Swing-Mega-2 bay-mixed,
PLEQ-Swing-Mixed-1 Bay,22098,Cairnbrae Reserve,PLEQ-Swing-Mixed-1 Bay,
PLEQ-Swing-mixed-1.5 bay,22406,D'Oyly/Stanmore Bay Weir Reserve,PLEQ-Swing-mixed-1.5 bay,
PLEQ-Swing-Rope basket,21968,Sanders Reserve,PLEQ-Swing-Rope basket,
PLEQ-Swing-Rope-Beach,11275,Stanmore Bay Park,PLEQ-Swing-Rope-Beach,
PLEQ-Swing-Senior-1 Bay,22604,Ferry Rd/ Hawaiian Pde Junction,PLEQ-Swing-Senior-1 Bay,
PLEQ-Swing-Single-Jnr,22275,Fernwood Grove,PLEQ-Swing-Single-Jnr,
PLEQ-Swing-Single-Jnr,22167,Monarch Park,PLEQ-Swing-Single-Jnr,
PLEQ-Swing-Single-Jnr-W side,20653,Totara Views Reserve,PLEQ-Swing-Single-Jnr-W side,
PLEQ-Swing-Single-Jnr-W side nr top,11247,Warkworth Service Centre & Library Grou.,PLEQ-Swing-Single-Jnr-W side nr top,
PLEQ-Swing-Single-Senior,22158,Locket Reserve,PLEQ-Swing-Single-Senior,
PLEQ-Swing-T bar-Jnr,22398,Helensville Civic Centre Grounds,PLEQ-Swing-T bar-Jnr,
PLEQ-Swing-T bar-Jnr,22668,Millwater Park Playground Reserve,PLEQ-Swing-T bar-Jnr,
PLEQ-Swing-T bar-Jnr,11205,Riverhead War Memorial Park,PLEQ-Swing-T bar-Jnr,
PLEQ-Swing-T bar-Mixed,20351,Neptune Avenue Reserve,PLEQ-Swing-T bar-Mixed,
PLEQ-Swing-T bar-Mixed,22418,Weiti Views Reserve,PLEQ-Swing-T bar-Mixed,
PLEQ-Swings-high quad-2 regular-2 infant,22359,Snells Beach (Sunrise Boulevard),PLEQ-Swings-high quad-2 regular-2 infant,
PLEQ-Timber jetty,21933,Sandspit Reserve - Waiuku,PLEQ-Timber jetty,
PLEQ-Timber pods under shade,11247,Warkworth Service Centre & Library Grou.,PLEQ-Timber pods under shade,
PLEQ-Timber Stepping Logs,11247,Warkworth Service Centre & Library Grou.,PLEQ-Timber Stepping Logs,
PLEQ-Timber waka-In p/grnd,10467,Omana Regional Park,PLEQ-Timber waka-In p/grnd,
PLEQ-Tossup Hoop,11095,Elliott Reserve,PLEQ-Tossup Hoop,
PLEQ-Track Ride,11213,Rautawhiri Park,PLEQ-Track Ride,
PLEQ-Tractor,10930,Wainoni Park North,PLEQ-Tractor,
PLEQ-Trampoline inground,24041,Lake Town Green,PLEQ-Trampoline inground,
PLEQ-Trampoline inground,24041,Lake Town Green,PLEQ-Trampoline inground,
PLEQ-Trampolines,10167,Fairburn Reserve,PLEQ-Trampolines,
"PLEQ-Tree hut-In bush, behind p/grnd",10467,Omana Regional Park,"PLEQ-Tree hut-In bush, behind p/grnd",
PLEQ-Tube shape climbers x3,10167,Fairburn Reserve,PLEQ-Tube shape climbers x3,
PLEQ-Tube Slide and Tower,21723,Carisbrook Reserve,PLEQ-Tube Slide and Tower,
PLEQ-Tunnel-Galvanised,21968,Sanders Reserve,PLEQ-Tunnel-Galvanised,
PLEQ-Tunnel-Plastic,21968,Sanders Reserve,PLEQ-Tunnel-Plastic,
PLEQ-Turn Bars,11210,Shoesmith Domain Recreation Reserve,PLEQ-Turn Bars,
PLEQ-Turn bars-HolidayPk,11273,Orewa Reserve,PLEQ-Turn bars-HolidayPk,
PLEQ-Turnstile,22194,Centorian Reserve,PLEQ-Turnstile,
PLEQ-Twirler spinner,20760,Harania/Marys Foreshore Reserve,PLEQ-Twirler spinner,
PLEQ-Twirler Spinner,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Twirler Spinner,
PLEQ-Twirler Spinner,20263,Parkhaven Reserve,PLEQ-Twirler Spinner,
PLEQ-Twirler Spinner,10167,Fairburn Reserve,PLEQ-Twirler Spinner,
PLEQ-Twister ring,20294,Cross Street Reserve,PLEQ-Twister ring,
PLEQ-Vertical ladder,20294,Cross Street Reserve,PLEQ-Vertical ladder,
PLEQ-Walkway Wobbly Walk Deck,11092,Browns Bay Beach Reserve,PLEQ-Walkway Wobbly Walk Deck,
PLEQ-Water Feature,10930,Wainoni Park North,PLEQ-Water Feature,
PLEQ-Water Play,21863,Pin Oak Reserve,PLEQ-Water Play,
PLEQ-Water play,10167,Fairburn Reserve,PLEQ-Water play,
PLEQ-Wave slide,20760,Harania/Marys Foreshore Reserve,PLEQ-Wave slide,
PLEQ-Wave slide,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Wave slide,
PLEQ-Wheel chair exercises,10687,Mountfort Park,PLEQ-Wheel chair exercises,
PLEQ-Wheelchair swing,10514,Wellington Street Reserve - Pukekohe,PLEQ-Wheelchair swing,
PLEQ-Wobbly bridge,23186,Clare Place Reserve,PLEQ-Wobbly bridge,
PLEQ-Wobbly bridge,11115,Opaketai Beach Haven Garden,PLEQ-Wobbly bridge,
PLEQ-Xylophone,24041,Lake Town Green,PLEQ-Xylophone,
"PLQE-Swing Unit, opposite slides",10754,Bramley Drive Reserve,"PLQE-Swing Unit, opposite slides",
Pommel swing,10326,Outhwaite Park,Pommel swing,
Pre-school play module,10424,Madills Farm Recreation Reserve,Pre-school play module,
Pyramid rope climber 3m,10381,Margaret Griffen Park,Pyramid rope climber 3m,
Pyramid rope climbing net,10211,Lynfield Reserve,Pyramid rope climbing net,
RBIN-Along loop path next to BMX track,10537,Puni Recreation Reserve,RBIN-Along loop path next to BMX track,
Rider Adjacent To Playground,10751,David Lange Park,Rider Adjacent To Playground,
Rocker,21794,Shore Road Reserve,Rocker,
Rocker seesaw,10288,Waterview Reserve,Rocker seesaw,
Rocket structure,10396,Mt Albert War Memorial Reserve,Rocket structure,
Rocktopus,21481,Buchanan Park,Rocktopus,
Rocktopus,21137,John Moore Reserve,Rocktopus,
Roctopus,10362,One Tree Hill Domain,Roctopus,
Roctopus,23096,Kupe North Reserve,Roctopus,
Roktopus,10348,Western Springs Lakeside,Roktopus,
Roktopus,21798,Okahu Bay Reserve,Roktopus,
Roktopus,10250,Waikowhai Park,Roktopus,
Roktopus,10395,Newmarket Park,Roktopus,
Rope block activity,10050,Coyle Park,Rope block activity,
Rope climbing net,10395,Newmarket Park,Rope climbing net,
Rope swing,21194,Cliff Face Park,Rope swing,
Rotating Net,21015,Bellevue Reserve,Rotating Net,
Rotating Net,10065,Murray Halberg Park,Rotating Net,
Rotating net,23096,Kupe North Reserve,Rotating net,
Roundabout,10178,Centennial Park,Roundabout,
Roundabout,21543,Wairaki Stream Reserve 1,Roundabout,
Roundabout,10200,Victoria Park,Roundabout,
Roundabout,22898,Possum Bourne Reserve,Roundabout,
Roundabout,10050,Coyle Park,Roundabout,
Roundabout,10304,Salisbury Reserve,Roundabout,
Roundabout,10179,Maungawhau Domain (Mt Eden),Roundabout,
Roundabout,10424,Madills Farm Recreation Reserve,Roundabout,
Roundabout (Snr) -22006,10759,Maraetai Park,Roundabout (Snr) -22006,
Roundabout Spinner blue,10244,Buckley Road Reserve,Roundabout Spinner blue,
Roundabout x2,10200,Victoria Park,Roundabout x2,
Sand play bench,10245,Mary Wilson Reserve,Sand play bench,
Sand play unit,10154,Selwyn Reserve - Mission Bay,Sand play unit,
Sandpit,10304,Salisbury Reserve,Sandpit,
Seat-60m From Corner Botanical And,22668,Millwater Park Playground Reserve,Seat-60m From Corner Botanical And,
See saw,21383,Kuaka Park,See saw,
See Saw,10315,Jellicoe Park & Onehunga War Mem Pools,See Saw,
See saw,21004,Sainsbury Reserve North,See saw,
See saw,21390,Tole Reserve,See saw,
See saw,21188,Watling Reserve,See saw,
See-saw,21011,Costley Reserve,See-saw,
See-saw,21153,Essex Road Reserve,See-saw,
Seesaw,21803,Wairua Reserve,Seesaw,
Seesaw,20987,Ireland Reserve,Seesaw,
Seesaw,10198,Fearon Park,Seesaw,
Seesaw,21177,Stranolar Reserve,Seesaw,
Seesaw,10211,Lynfield Reserve,Seesaw,
Seesaw,10415,Melville Park,Seesaw,
Seesaw,10245,Mary Wilson Reserve,Seesaw,
Seesaw,10415,Melville Park,Seesaw,
Seesaw,21543,Wairaki Stream Reserve 1,Seesaw,
Seesaw,10286,Potters Park,Seesaw,
Seesaw,10348,Western Springs Lakeside,Seesaw,
Seesaw,10056,Ellerslie Domain,Seesaw,
Seesaw,20823,Taylors Bay Road Reserve,Seesaw,
Seesaw,20939,Robinson Reserve,Seesaw,
Seesaw,23116,Pallister Reserve,Seesaw,
Seesaw - 3 blade,10326,Outhwaite Park,Seesaw - 3 blade,
Seesaw - balance log,10200,Victoria Park,Seesaw - balance log,
Seesaw - double,10394,Fowlds Park,Seesaw - double,
Seesaw - double,10200,Victoria Park,Seesaw - double,
Seesaw - double,10155,Grey Lynn Park,Seesaw - double,
Seesaw - single,20959,Bannerman Reserve,Seesaw - single,
Seesaw - single,20959,Bannerman Reserve,Seesaw - single,
Seesaw - single,10253,Waiatarua Reserve (Remuera),Seesaw - single,
Seesaw - single,10004,Walker Park,Seesaw - single,
Seesaw - triple,10151,Nixon Park,Seesaw - triple,
Seesaw double,10356,Western Park - Freemans Bay,Seesaw double,
Seesaw rocker,10407,Mt Wellington War Memorial Reserve,Seesaw rocker,
Seesaw rocker,23100,Ascot Park,Seesaw rocker,
Seesaw rocker,10387,Pt Erin Park,Seesaw rocker,
Senior module,23106,Torino Reserve,Senior module,
Senior module,10348,Western Springs Lakeside,Senior module,
Senior module,10396,Mt Albert War Memorial Reserve,Senior module,
Senior module,21383,Kuaka Park,Senior module,
Senior module,10288,Waterview Reserve,Senior module,
Senior Module,10065,Murray Halberg Park,Senior Module,
Senior Module,21390,Tole Reserve,Senior Module,
Senior overhead climber,10415,Melville Park,Senior overhead climber,
Senior Swings,10362,One Tree Hill Domain,Senior Swings,
Senior Swings,21343,Talbot Reserve,Senior Swings,
Senior unit,21133,Taumata Reserve,Senior unit,
Ship Module,10020,Panmure Basin,Ship Module,
Shoulder Press Adjacent To Playground,10751,David Lange Park,Shoulder Press Adjacent To Playground,
SKAT-Rail-Sthn end,10531,Bledisloe Park - Franklin,SKAT-Rail-Sthn end,
SKAT-Rail-Sthn end,10531,Bledisloe Park - Franklin,SKAT-Rail-Sthn end,
SKAT-Rail-Sthn end-In concrete,10531,Bledisloe Park - Franklin,SKAT-Rail-Sthn end-In concrete,
SKAT-Timber ramp,10535,Massey Park - Waiuku,SKAT-Timber ramp,
SKAT-Timber/Aluminium ramp,10535,Massey Park - Waiuku,SKAT-Timber/Aluminium ramp,
Skate Tricks,10924,Tui Park,Skate Tricks,
Skate Tricks,10924,Tui Park,Skate Tricks,
Skate Tricks,10924,Tui Park,Skate Tricks,
SKEQ-A frame rail and box,21782,Randwick Park (Secretariat Place),SKEQ-A frame rail and box,
SKEQ-Curved hubba,21782,Randwick Park (Secretariat Place),SKEQ-Curved hubba,
SKEQ-Flat rail,11198,Takaanini Reserve (aka Taka Reserve),SKEQ-Flat rail,
SKEQ-Funbox 1,21782,Randwick Park (Secretariat Place),SKEQ-Funbox 1,
SKEQ-Funbox 2,21782,Randwick Park (Secretariat Place),SKEQ-Funbox 2,
SKEQ-Funbox 3,21782,Randwick Park (Secretariat Place),SKEQ-Funbox 3,
SKEQ-Grindbox,21782,Randwick Park (Secretariat Place),SKEQ-Grindbox,
SKEQ-Hubba 1,21782,Randwick Park (Secretariat Place),SKEQ-Hubba 1,
SKEQ-Hubba 2,21782,Randwick Park (Secretariat Place),SKEQ-Hubba 2,
SKEQ-Hubba 3,21782,Randwick Park (Secretariat Place),SKEQ-Hubba 3,
SKEQ-Hubba 4,21782,Randwick Park (Secretariat Place),SKEQ-Hubba 4,
SKEQ-Hubba 5,21782,Randwick Park (Secretariat Place),SKEQ-Hubba 5,
SKEQ-Hubba 6,21782,Randwick Park (Secretariat Place),SKEQ-Hubba 6,
SKEQ-Kick up 1-Side of bowl,21782,Randwick Park (Secretariat Place),SKEQ-Kick up 1-Side of bowl,
SKEQ-Rail 1 - funbox 1,21782,Randwick Park (Secretariat Place),SKEQ-Rail 1 - funbox 1,
SKEQ-Rail 2 - funbox 1,21782,Randwick Park (Secretariat Place),SKEQ-Rail 2 - funbox 1,
SKEQ-Rail 3,21782,Randwick Park (Secretariat Place),SKEQ-Rail 3,
SKEQ-Rail 4,21782,Randwick Park (Secretariat Place),SKEQ-Rail 4,
SKEQ-Rail 5,21782,Randwick Park (Secretariat Place),SKEQ-Rail 5,
SKEQ-Rail 6,21782,Randwick Park (Secretariat Place),SKEQ-Rail 6,
SKEQ-Rail 7,21782,Randwick Park (Secretariat Place),SKEQ-Rail 7,
SKEQ-Rail-cntr step frm skatepark to crt,21782,Randwick Park (Secretariat Place),SKEQ-Rail-cntr step frm skatepark to crt,
SKEQ-Ramp 1,21782,Randwick Park (Secretariat Place),SKEQ-Ramp 1,
SKEQ-Ramp 2,21782,Randwick Park (Secretariat Place),SKEQ-Ramp 2,
SKEQ-Skate bowl,21782,Randwick Park (Secretariat Place),SKEQ-Skate bowl,
SKEQ-Steps 1,21782,Randwick Park (Secretariat Place),SKEQ-Steps 1,
SKEQ-Steps 2,21782,Randwick Park (Secretariat Place),SKEQ-Steps 2,
SKEQ-Steps 3,21782,Randwick Park (Secretariat Place),SKEQ-Steps 3,
SKEQ-Steps 4,21782,Randwick Park (Secretariat Place),SKEQ-Steps 4,
SKEQ-Steps 5,21782,Randwick Park (Secretariat Place),SKEQ-Steps 5,
SKEQ-Steps-From skatepark to court,21782,Randwick Park (Secretariat Place),SKEQ-Steps-From skatepark to court,
SKEQ-Triangle bank,21782,Randwick Park (Secretariat Place),SKEQ-Triangle bank,
SKEQ-Volcano,21782,Randwick Park (Secretariat Place),SKEQ-Volcano,
SKEQ-Wall ride,21782,Randwick Park (Secretariat Place),SKEQ-Wall ride,
SKEQ-Whale tail,21782,Randwick Park (Secretariat Place),SKEQ-Whale tail,
Sky Surfer,10389,Gribblehirst Park,Sky Surfer,
Slide,10425,Claris Playground,Slide,
Slide,20823,Taylors Bay Road Reserve,Slide,
Slide,10048,Heron Park,Slide,
Slide,10200,Victoria Park,Slide,
Slide,23056,Moira Reserve,Slide,
Slide,10198,Fearon Park,Slide,
Slide,10048,Heron Park,Slide,
Slide,10250,Waikowhai Park,Slide,
Slide,10056,Ellerslie Domain,Slide,
Slide,10351,Owairaka Park,Slide,
Slide,21157,Harwood Reserve,Slide,
Slide,23116,Pallister Reserve,Slide,
Slide,21379,Fairlands Reserve,Slide,
Slide,10315,Jellicoe Park & Onehunga War Mem Pools,Slide,
Slide,10317,Massey Reserve,Slide,
Slide,10314,Medlands Playground Reserve,Slide,
Slide,21705,Bert Henham Park,Slide,
Slide - curve tube,21196,Taylors Park,Slide - curve tube,
Slide - stainless large at top of embank,10356,Western Park - Freemans Bay,Slide - stainless large at top of embank,
Slide - stainless straight,21133,Taumata Reserve,Slide - stainless straight,
Slide - stand alone,10381,Margaret Griffen Park,Slide - stand alone,
Slide - tube straight,21196,Taylors Park,Slide - tube straight,
Slide embankment,10365,Keith Hay Park,Slide embankment,
Slide embankment,10365,Keith Hay Park,Slide embankment,
Slide green,21794,Shore Road Reserve,Slide green,
Slide Module,10154,Selwyn Reserve - Mission Bay,Slide Module,
Slide tower,10037,Gladstone Park,Slide tower,
Slide unit,10362,One Tree Hill Domain,Slide unit,
Slide unit,10266,Point England Reserve,Slide unit,
Slide unit,23096,Kupe North Reserve,Slide unit,
Slide unit,21188,Watling Reserve,Slide unit,
Slide yellow,10389,Gribblehirst Park,Slide yellow,
Slides 2,10304,Salisbury Reserve,Slides 2,
Slides x 2,10050,Coyle Park,Slides x 2,
Small module,20654,Tin Boat Reserve,Small module,
Small module,10274,Freemans Bay Community Centre,Small module,
Small module,20959,Bannerman Reserve,Small module,
Small module,21322,Hobson Reserve,Small module,
Small module,10004,Walker Park,Small module,
Small module,10037,Gladstone Park,Small module,
Small module,10326,Outhwaite Park,Small module,
Spacenet,10179,Maungawhau Domain (Mt Eden),Spacenet,
Spica,10253,Waiatarua Reserve (Remuera),Spica,
Spica,10239,Thompson Park,Spica,
Spica,21383,Kuaka Park,Spica,
spica,10269,Fergusson Domain,spica,
Spica,10396,Mt Albert War Memorial Reserve,Spica,
Spica,10004,Walker Park,Spica,
Spica,10396,Mt Albert War Memorial Reserve,Spica,
Spica,10269,Fergusson Domain,Spica,
Spica,21322,Hobson Reserve,Spica,
Spica,10343,Pollard Park,Spica,
Spica,10351,Owairaka Park,Spica,
Spica,10351,Owairaka Park,Spica,
Spica,10004,Walker Park,Spica,
Spica,10239,Thompson Park,Spica,
Spica,10396,Mt Albert War Memorial Reserve,Spica,
Spica,23080,Celtic Crescent Reserve,Spica,
Spica,10351,Owairaka Park,Spica,
Spica,21571,Swainston Reserve,Spica,
Spica,21383,Kuaka Park,Spica,
Spica,23971,Playtime Park,Spica,
Spica,10154,Selwyn Reserve - Mission Bay,Spica,
Spica,23971,Playtime Park,Spica,
Spica,10154,Selwyn Reserve - Mission Bay,Spica,
Spica twirl about,21177,Stranolar Reserve,Spica twirl about,
Spica twirl about,20939,Robinson Reserve,Spica twirl about,
Spica twirl about,20939,Robinson Reserve,Spica twirl about,
Spica twirl about,10155,Grey Lynn Park,Spica twirl about,
Spica twirl about,10034,May Road War Memorial Park,Spica twirl about,
Spica twirl about,10381,Margaret Griffen Park,Spica twirl about,
Spica twirl about,10034,May Road War Memorial Park,Spica twirl about,
Spiner tornado net,10365,Keith Hay Park,Spiner tornado net,
Spingy animal,21383,Kuaka Park,Spingy animal,
Spinner,10365,Keith Hay Park,Spinner,
Spinner,21705,Bert Henham Park,Spinner,
Spinner cup,10365,Keith Hay Park,Spinner cup,
Spinner cup,21011,Costley Reserve,Spinner cup,
Spinner round about,10365,Keith Hay Park,Spinner round about,
Spinner roundabout,20823,Taylors Bay Road Reserve,Spinner roundabout,
Spinner roundabout,23116,Pallister Reserve,Spinner roundabout,
Spinner roundabout,10255,School Reserve,Spinner roundabout,
Spinner swing,20894,Turner Reserve,Spinner swing,
Spinner top net,20894,Turner Reserve,Spinner top net,
Spinning Cup (Snr) -22007,10759,Maraetai Park,Spinning Cup (Snr) -22007,
Spinning Frame,10377,Arthur Faulkner Reserve,Spinning Frame,
Splash pad,10288,Waterview Reserve,Splash pad,
Sprial Net Climb,10362,One Tree Hill Domain,Sprial Net Climb,
Spring perch,10271,Riverside Community Centre,Spring perch,
Spring rider see saw,10424,Madills Farm Recreation Reserve,Spring rider see saw,
Springy animal,21157,Harwood Reserve,Springy animal,
Springy animal,10425,Claris Playground,Springy animal,
Springy animal,10258,Ruapotaka Reserve,Springy animal,
Springy Animal,21408,Home Reserve,Springy Animal,
Springy animal,21322,Hobson Reserve,Springy animal,
springy animal,20672,Mulberry Grove Reserve & School,springy animal,
Springy animal,20672,Mulberry Grove Reserve & School,Springy animal,
Springy animal,20939,Robinson Reserve,Springy animal,
Springy animal,21157,Harwood Reserve,Springy animal,
Springy animal,10304,Salisbury Reserve,Springy animal,
Springy animal,21390,Tole Reserve,Springy animal,
Springy animal,21561,Ruka Reserve,Springy animal,
Springy animal rocker,10028,Waiheke Island Sports Club,Springy animal rocker,
Springy car,10381,Margaret Griffen Park,Springy car,
Springy car,21196,Taylors Park,Springy car,
Springy car,21383,Kuaka Park,Springy car,
Springy car,10037,Gladstone Park,Springy car,
Springy rider car,10211,Lynfield Reserve,Springy rider car,
Springy rocker,10004,Walker Park,Springy rocker,
Springy rocker,10340,Onehunga Bay Reserve,Springy rocker,
Springy rocker,21806,Wharua Reserve,Springy rocker,
Springy rocker,10034,May Road War Memorial Park,Springy rocker,
Springy rocker,10442,Palm Beach Reserve,Springy rocker,
Springy rocker,10029,Rutherford Reserve,Springy rocker,
Springy rocker,10442,Palm Beach Reserve,Springy rocker,
Springy rocker,10178,Centennial Park,Springy rocker,
Springy rocker,10154,Selwyn Reserve - Mission Bay,Springy rocker,
Springy rocker,10034,May Road War Memorial Park,Springy rocker,
Springy seesaw,23056,Moira Reserve,Springy seesaw,
Springy seesaw,10286,Potters Park,Springy seesaw,
Springy seesaw,10037,Gladstone Park,Springy seesaw,
Springy seesaw,10239,Thompson Park,Springy seesaw,
Springy seesaw,10037,Gladstone Park,Springy seesaw,
Springy seesaw,21866,St Heliers Bay Beach Reserve,Springy seesaw,
Springy seesaw,21173,Braemar Reserve,Springy seesaw,
Springy seesaw,21348,Horsham Reserve,Springy seesaw,
Springy seesaw,21348,Horsham Reserve,Springy seesaw,
Springy seesaw,10321,Eric Armishaw Park,Springy seesaw,
Springy seesaw,10381,Margaret Griffen Park,Springy seesaw,
Springy seesaw,10033,Kupe Reserve,Springy seesaw,
Springy seesaw - large,10362,One Tree Hill Domain,Springy seesaw - large,
Springy seesaw - large,10154,Selwyn Reserve - Mission Bay,Springy seesaw - large,
Springy seesaw junior,10362,One Tree Hill Domain,Springy seesaw junior,
Springy sesaw,21157,Harwood Reserve,Springy sesaw,
Springy skateboard,10050,Coyle Park,Springy skateboard,
Springy skateboard,10050,Coyle Park,Springy skateboard,
Springy skateboard,10381,Margaret Griffen Park,Springy skateboard,
Springy skateboard,10381,Margaret Griffen Park,Springy skateboard,
Springy skateboard,20894,Turner Reserve,Springy skateboard,
Springy skateboard,10271,Riverside Community Centre,Springy skateboard,
Stainless steel slide - short,10356,Western Park - Freemans Bay,Stainless steel slide - short,
Staircase,10381,Margaret Griffen Park,Staircase,
Stepping logs,20823,Taylors Bay Road Reserve,Stepping logs,
Stepping logs,10034,May Road War Memorial Park,Stepping logs,
Stepping logs,10213,Jordan Park,Stepping logs,
Stepping logs,10424,Madills Farm Recreation Reserve,Stepping logs,
Stepping logs,10241,Konini Reserve,Stepping logs,
Stepping logs,21145,Edenvale Park,Stepping logs,
Stepping logs,10063,Roberta Reserve,Stepping logs,
Stepping logs,21390,Tole Reserve,Stepping logs,
Stepping logs/balance beam,10314,Medlands Playground Reserve,Stepping logs/balance beam,
Stepping platform - webbed,10034,May Road War Memorial Park,Stepping platform - webbed,
Stepping stone logs,21190,Bluestone Park,Stepping stone logs,
Stepping stones,10351,Owairaka Park,Stepping stones,
Supa nova,21343,Talbot Reserve,Supa nova,
Supa nova,10362,One Tree Hill Domain,Supa nova,
Supa nova,10154,Selwyn Reserve - Mission Bay,Supa nova,
Supanova,21383,Kuaka Park,Supanova,
Supernova,10197,Elstree North Reserve,Supernova,
Supernova,10211,Lynfield Reserve,Supernova,
Supernova,10048,Heron Park,Supernova,
Swing,10348,Western Springs Lakeside,Swing,
Swing,23134,Lavas Reserve,Swing,
Swing,10198,Fearon Park,Swing,
Swing,10037,Gladstone Park,Swing,
Swing,10176,Maybury Reserve,Swing,
Swing,10269,Fergusson Domain,Swing,
Swing,21444,Tirotai Reserve,Swing,
Swing,10239,Thompson Park,Swing,
Swing,10266,Point England Reserve,Swing,
Swing,23100,Ascot Park,Swing,
Swing,21157,Harwood Reserve,Swing,
Swing,10037,Gladstone Park,Swing,
Swing,21543,Wairaki Stream Reserve 1,Swing,
Swing,10286,Potters Park,Swing,
Swing,10056,Ellerslie Domain,Swing,
Swing,10250,Waikowhai Park,Swing,
Swing,10035,Ostend Domain,Swing,
Swing,20877,Delphine Park,Swing,
Swing,21866,St Heliers Bay Beach Reserve,Swing,
Swing,10416,Griffin Reserve,Swing,
Swing,21181,Monkey Hill,Swing,
Swing,10348,Western Springs Lakeside,Swing,
